#TAXONOMY	display_taxon	Species	Genus	Family	Order	Class	Phylum	Kingdom
9946cd6fa2ad43cc61c456a69fbdab83	Peptostreptococcus anaerobius	 Peptostreptococcus anaerobius	 Peptostreptococcus	 Peptostreptococcaceae_256921	 Peptostreptococcales	 Clostridia_258483	 Bacillota_A_368345	Bacteria
797293a3a0d7ba227faed36775dc075f	Prevotella timonensis A	 Prevotella timonensis A	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
feb4cdb55624dc95d7dd75f521d3379d	Prevotella amnii	 Prevotella amnii	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
ff8c98f448fedda85c49b19a2a9e1e01	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
3bc13ffbdb6f160cffe9fe82aa8ef199	Prevotella timonensis A	 Prevotella timonensis A	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
c5a855b27103260a0350b8426d519697	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
62f4bc973c89924061b5a4eed80be1d6	Fannyhessea vaginae	 Fannyhessea vaginae	 Fannyhessea	 Atopobiaceae	 Coriobacteriales	 Coriobacteriia	 Actinomycetota	Bacteria
641e2cc7adeffb219b69635fbdc30164	Limosilactobacillus portuensis	 Limosilactobacillus portuensis	 Limosilactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
32a39899540d96a8f51e83f974031754	Nanoperiomorbus sp946222675	 Nanoperiomorbus sp946222675	 Nanoperiomorbus	 Nanoperiomorbaceae	 Saccharimonadales	 Saccharimonadia	 Patescibacteria	Bacteria
2d5f18cc1cbcf5946edd88cc9d94c20a	Prevotella sp000758925	 Prevotella sp000758925	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
4f98ff523e66527ea9e79ebae5fe7f10	Limosilactobacillus coleohominis_A	 Limosilactobacillus coleohominis_A	 Limosilactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
c33996fdc0aeca1656f6e21f8704a285	Clostridium_T colicanis	 Clostridium_T colicanis	 Clostridium_T	 Clostridiaceae_222000	 Clostridiales	 Clostridia_258483	 Bacillota_A_368345	Bacteria
fe6713edadf22f38b82e551ec42c4c4f	Dialister_37762 micraerophilus	 Dialister_37762 micraerophilus	 Dialister_37762	 Dialisteraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
e28739c537b99d442cc3203bf1e3e581	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
7f7ad0b79567080ae1a07aedc3b8ad24	Lactobacillus iners	 Lactobacillus iners	 Lactobacillus	 Lactobacillaceae	 Lactobacillales	 Bacilli_A	 Bacillota_I	Bacteria
73cd12b64a0667c97c473b1ff3ed64d1	Prevotella amnii	 Prevotella amnii	 Prevotella	 Bacteroidaceae	 Bacteroidales	 Bacteroidia	 Bacteroidota	Bacteria
dd404076fed16f4d77e5ef618603f380	Dialister_37762 sp001553355	 Dialister_37762 sp001553355	 Dialister_37762	 Dialisteraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
ce2193df2ba4d266e6395a369678c31f	Megasphaera_C lornae	 Megasphaera_C lornae	 Megasphaera_C	 Megasphaeraceae	 Veillonellales	 Negativicutes	 Bacillota_C	Bacteria
